id,name,location_text,notes,created_at,timezone,venue_kind,access_type,abbreviation,city,postal_code,country,website_url,contact_name,contact_phone,contact_email,venue_phone,venue_email,province,latitude,longitude,indoor_outdoor,facility_type,booking_required,cost_type
77dfb080-3abc-4e05-ad2b-176e0388eae4,Jonathan Park,1180 Jonathan Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
cb05b1ab-00c4-4a10-a172-12f44826fe82,Joseph Gibbons Park,77 Weber St,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Georgetown,,Canada,https://haltonhills.ca,,,,,,ON,,,outdoor,court_only,f,free
bfd9ac57-7bed-42ef-8c18-dbadc5981787,JSI Hockey Oakville,505 Iroquois Shore Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,private_facility,private,,Oakville,,Canada,https://jsihockey.com,,,,,,ON,,,indoor,full_facility,t,paid
45293e2c-ae6c-44e1-8218-be30e0eaed01,Kinsmen Park,180 Wilson Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Milton,,Canada,https://milton.ca,,,,,,ON,,,outdoor,court_only,f,free
f0c1c45f-4a0b-4de9-b7ee-c8b225fe719b,Lawson Tennis Club,1152 Lawson Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Oakville,,Canada,https://lawsontennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
3c3da1c3-c404-46aa-a4dd-84c5988272bd,Leighland Park,1200 Leighland Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Burlington,,Canada,https://burlington.ca,,,,,,ON,,,outdoor,court_only,f,free
7c4bd984-5e8c-4f2a-9658-519ee5d87281,Meadowwood Tennis Club,1463 Litchfield Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Oakville,,Canada,https://meadowwoodtennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
858a9c62-0c91-4055-965c-f4c366440ce3,Milton Sports Centre,605 Santa Maria Blvd,,2026-05-06 02:14:28.234199+00,America/Toronto,community_centre,public,,Milton,,Canada,https://milton.ca,,,,,,ON,,,indoor,full_facility,t,paid
37fe4f16-8216-4cf5-8e60-f28681c18a71,Milton Tennis Club,800 Santa Maria Blvd,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Milton,,Canada,https://miltontennis.com,,,,,,ON,,,indoor_outdoor,full_facility,t,paid
65a3ce8f-5d70-41d9-a809-c5785f389140,Optimist Park,881 Savoline Blvd,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Milton,,Canada,https://milton.ca,,,,,,ON,,,outdoor,court_only,f,free
42afb22d-dacb-4a89-941f-77a1e228d479,Palmer Park,3409 Palmer Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Burlington,,Canada,https://burlington.ca,,,,,,ON,,,outdoor,court_only,f,free
989344d6-7f4b-4e2e-95a0-4268646b38f0,Prospect Park,30 Park Ave,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Acton,,Canada,https://haltonhills.ca,,,,,,ON,,,outdoor,court_only,f,free
6175316e-a23a-4980-b827-46d3962e91de,Rotary Park,100 Garden Ln,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Milton,,Canada,https://milton.ca,,,,,,ON,,,outdoor,court_only,f,free
9756f2e9-3b1b-42fa-a981-090297c6b383,Saw Whet Park,Bronte Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
c544979f-a53c-4c0f-bc91-0b33964a7447,Squeeze Pickleball,3485 North Service Rd,,2026-05-06 02:14:28.234199+00,America/Toronto,private_facility,private,,Burlington,,Canada,https://squeezepickleball.com,,,,,,ON,,,indoor,full_facility,t,paid
5118601e-6f06-4fd4-bdb9-dfed27593ad6,Tansley Woods Park,4100 Kilmer Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Burlington,,Canada,https://burlington.ca,,,,,,ON,,,outdoor,full_facility,f,free
c870da76-61a7-4e61-bd89-d610defc68c0,Tyandaga Tennis Club,1265 Tyandaga Park Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Burlington,,Canada,https://tyandagatennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
1c944780-aed7-42c7-ba6a-8755d4183fdc,Wallace Park Tennis Club,245 Reynolds St,,2026-05-06 02:14:28.234199+00,America/Toronto,club,private,,Oakville,,Canada,https://wallaceparktennis.com,,,,,,ON,,,outdoor,full_facility,t,paid
286aded0-4a8a-4aac-bad0-b62e12b17082,William Rose Park,455 Wheat Boom Dr,,2026-05-06 02:14:28.234199+00,America/Toronto,park,public,,Oakville,,Canada,https://oakville.ca,,,,,,ON,,,outdoor,court_only,f,free
0401628a-2243-439c-a11b-ab69957873d9,Ontario Racquet Club,"Oakville, ON",,2026-05-06 02:14:28.41542+00,America/Toronto,club,members,orc,,,,,,,,,,,,,,,,
3802862a-db80-40e5-bed0-c76e8a631fa8,Whiteoak Tennis Club,"Toronto, ON",Test club for regression,2026-05-06 02:14:28.41542+00,America/Toronto,club,members,wtc,,,,,,,,,,,,,,,,
